"Date";"Open";"High";"Low";"Close";"Volume";"Market.Cap"
2010-08-16;0,0655;0,0655;0,0655;0,0655;0;0
2010-08-17;0,07;0,07;0,07;0,07;0;0
2010-08-18;0,068;0,068;0,068;0,068;0;0
2010-08-19;0,0667;0,0667;0,0667;0,0667;0;0
2010-08-20;0,0655;0,0655;0,0655;0,0655;0;0
2010-08-21;0,0664;0,0664;0,0664;0,0664;0;0
2010-08-22;0,066;0,066;0,066;0,066;0;0
2010-08-23;0,0649;0,0649;0,0649;0,0649;0;0
2010-08-24;0,065;0,065;0,065;0,065;0;0
2010-08-25;0,0648;0,0648;0,0648;0,0648;0;0
2010-08-26;0,064;0,064;0,064;0,064;0;0
2010-08-27;0,065;0,065;0,065;0,065;0;0
2010-08-28;0,0641;0,0641;0,0641;0,0641;0;0
2010-08-29;0,064;0,064;0,064;0,064;0;0
2010-08-30;0,065;0,065;0,065;0,065;0;0
2010-08-31;0,06;0,06;0,06;0,06;0;0
2010-09-01;0,0629;0,0629;0,0629;0,0629;0;0
2010-09-02;0,0634;0,0634;0,0634;0,0634;0;0
2010-09-03;0,0609;0,0609;0,0609;0,0609;0;0
2010-09-04;0,0624;0,0624;0,0624;0,0624;0;0
2010-09-05;0,0616;0,0616;0,0616;0,0616;0;0
2010-09-06;0,0616;0,0616;0,0616;0,0616;0;0
2010-09-07;0,061;0,061;0,061;0,061;0;0
2010-09-08;0,062;0,062;0,062;0,062;0;0
2010-09-09;0,0611;0,0611;0,0611;0,0611;0;0
2010-09-10;0,0618;0,0618;0,0618;0,0618;0;0
2010-09-11;0,0637;0,0637;0,0637;0,0637;0;0
2010-09-12;0,0615;0,0615;0,0615;0,0615;0;0
2010-09-13;0,0622;0,0622;0,0622;0,0622;0;0
2010-09-14;0,062;0,062;0,062;0,062;0;0
2010-09-15;0,0604;0,0604;0,0604;0,0604;0;0
2010-09-16;0,0619;0,0619;0,0619;0,0619;0;0
2010-09-17;0,059;0,059;0,059;0,059;0;0
2010-09-18;0,061;0,061;0,061;0,061;0;0
2010-09-19;0,0627;0,0627;0,0627;0,0627;0;0
2010-09-20;0,0621;0,0621;0,0621;0,0621;0;0
2010-09-21;0,0627;0,0627;0,0627;0,0627;0;0
2010-09-22;0,0622;0,0622;0,0622;0,0622;0;0
2010-09-23;0,0623;0,0623;0,0623;0,0623;0;0
